,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,122,62.64765751821588,1.5,0.32699186569166006,343.0527761988889,10.0,0.45878972024842596,263.45798892384505,10.0,0.7352143803291213,312.99362976862665,1.5,0.7027435582929705,301.13520445333927,10.0,0.8548813286162951,4.5,4.5,2.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,0,710,dikesnet
1,29,117.16916329173591,1.5,0.934856222416682,315.38854612245916,10.0,0.3664346256866141,286.12375925821607,10.0,0.0174707540084667,169.0422087452839,1.5,0.10895143296600791,222.41503428717536,1.5,0.7999169827454529,3.5,3.5,4.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,1,710,dikesnet
2,129,48.783777255240864,1.5,0.7894937050518618,324.1578751414568,1.0,0.5332012659700074,277.4059398349172,10.0,0.9639316228641243,258.9116475316638,1.0,0.3911282598391794,309.25693785692494,10.0,0.9651778561087632,3.5,3.5,4.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,2,710,dikesnet
3,40,334.585111562081,1.0,0.7834884449026165,149.99193853340878,1.5,0.8439258937878368,297.29113366797316,10.0,0.7813737400563588,128.10369921991378,10.0,0.6999106232624782,320.3169266747333,1.5,0.03855533244431649,4.5,1.5,1.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,3,710,dikesnet
4,1,130.77282343246506,10.0,0.5049348131923376,217.08685481555253,10.0,0.41312915974876696,304.70231306091495,10.0,0.5261179460492466,212.85229039368022,1.5,0.2001760844916734,69.28315860757182,1.5,0.3056473352576652,2.5,2.5,3.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,4,710,dikesnet
5,130,191.4519956530609,10.0,0.670178284775984,95.08771747725437,10.0,0.24236521543265718,309.32359544245634,1.5,0.2734653362018286,273.03462840225154,1.0,0.9623185271237641,180.75454678199506,1.0,0.5197367978256384,2.5,2.5,4.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,5,710,dikesnet
6,36,97.76328408660325,10.0,0.5925706096446665,70.3621026126234,1.5,0.5529004487313088,318.9018487171147,1.0,0.7410293348534918,32.99675164220403,10.0,0.5565719634951746,214.46611937741469,10.0,0.20393354934055158,4.5,1.5,4.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,6,710,dikesnet
7,129,54.894096925309405,1.0,0.8366072100887835,152.13288662827824,1.0,0.21311123040472096,163.75519815144702,1.5,0.9305978347711067,298.2329343788622,1.5,0.006626234554031586,154.66165352985,1.5,0.3435167232816502,3.5,4.5,2.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,7,710,dikesnet
8,78,245.86687921518973,1.0,0.6595758022044056,166.2526880555518,10.0,0.08056127032551408,131.25709196791811,10.0,0.2526352948757799,40.214523122078916,1.5,0.49075575266727023,157.72948661113523,10.0,0.027262170763364596,3.5,4.5,1.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,8,710,dikesnet
9,18,67.31059835435647,1.0,0.2782418356599776,217.9449346756371,1.5,0.7984913967948634,190.49520680645233,10.0,0.9429840876759689,116.84458805965502,1.0,0.5825040143160479,56.402581883874525,1.5,0.5124279942675997,1.5,3.5,4.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,9,710,dikesnet
10,31,129.65579464285497,1.0,0.11251374729375108,62.50419064609602,1.0,0.3742090963345157,259.2818975849559,10.0,0.8765688525232324,192.79770050487963,1.5,0.24416254151595418,126.76434599749268,10.0,0.0732151793448235,2.5,1.5,3.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,10,710,dikesnet
11,10,179.3363857579013,1.5,0.8729681759616663,343.948201583019,1.0,0.406665797600747,332.16371131725447,10.0,0.2635477465338705,214.65454182112612,1.0,0.05332412660546518,138.59579951404413,1.5,0.5640191126675377,4.5,1.5,4.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,11,710,dikesnet
12,132,318.8821336849382,1.5,0.14350481537407184,43.03027290696964,10.0,0.36327871466956896,38.812114879161896,1.0,0.127168201185613,206.58564755831145,10.0,0.5750130612896469,111.83211108809482,10.0,0.01749417120245046,2.5,4.5,4.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,12,710,dikesnet
13,11,325.56010160767187,1.5,0.0023571339647058378,308.2133283144531,1.0,0.856281652955575,84.6218297599116,1.5,0.9698279318455466,82.70187250994908,1.5,0.22823329948401477,58.336031127353294,1.5,0.3495394723819143,1.5,2.5,2.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,13,710,dikesnet
14,37,46.85929668306933,1.5,0.999258839074606,81.51670425381653,1.0,0.8236463522740912,333.87096944143605,10.0,0.12675727999891384,229.28835789655366,1.0,0.4621437045362681,265.2428509913614,1.5,0.6921986068132536,4.5,4.5,1.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,14,710,dikesnet
15,39,90.54318096243072,10.0,0.5440349200555128,73.02508741152181,1.5,0.9368547879363694,217.05763395350584,1.0,0.7145759301886723,151.23865612721585,1.5,0.3518766814554763,136.08479325152658,1.0,0.961317902623077,2.5,3.5,2.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,15,710,dikesnet
16,67,171.0262718493191,10.0,0.37738731248837315,235.46583403633122,1.0,0.1332079524099155,341.85054485064046,10.0,0.8986436973655081,86.4740720683885,10.0,0.7401197909881444,91.43020227927158,1.0,0.8916146754315909,4.5,2.5,3.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,16,710,dikesnet
17,61,289.0410284018317,10.0,0.3899811912433045,150.9538135674643,1.0,0.3907847678871404,257.2493105366557,10.0,0.49650655674030014,261.4507483049513,1.5,0.2267749592843592,52.49263385710754,1.0,0.5251932226615137,3.5,2.5,2.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,17,710,dikesnet
18,126,171.8764857414206,10.0,0.39525436662320274,320.4781287646455,1.5,0.5914043558291988,125.27895654723322,1.0,0.8797413211488554,200.33115695613202,1.5,0.4836772078189019,202.67184066629676,10.0,0.46521173825640677,3.5,3.5,3.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,3,0,0,18,710,dikesnet
